system,topic,score
input.b-BoWBoE-t-BoE,t_815,0.3645
input.b-BoWBoE-t-BoE,t_816,0.1266
input.b-BoWBoE-t-BoE,t_817,0.4649
input.b-BoWBoE-t-BoE,t_818,0.407
input.b-BoWBoE-t-BoE,t_819,0.1448
input.b-BoWBoE-t-BoE,t_820,0.2028
input.b-BoWBoE-t-BoE,t_821,0.2039
input.b-BoWBoE-t-BoE,t_822,0.2954
input.b-BoWBoE-t-BoE,t_823,0.3444
input.b-BoWBoE-t-BoE,t_824,0.5245
input.b-BoWBoE-t-BoE,t_825,0.5619
input.b-BoW-t-BoWBoE,t_321,0.22
input.b-BoW-t-BoWBoE,t_336,0.5422
input.b-BoW-t-BoWBoE,t_341,0.235
input.b-BoW-t-BoWBoE,t_347,0.0826
input.b-BoW-t-BoWBoE,t_350,0.0024
input.b-BoW-t-BoWBoE,t_362,0.1487
input.b-BoW-t-BoWBoE,t_363,0.2349
input.b-BoW-t-BoWBoE,t_367,0.0512
input.b-BoW-t-BoWBoE,t_375,0.4207
input.b-BoW-t-BoWBoE,t_378,0.1266
input.b-BoW-t-BoWBoE,t_393,0.0215
input.b-BoW-t-BoWBoE,t_397,0.1633
input.b-BoW-t-BoWBoE,t_400,0.1083
